iter	Passed	Remaining
0	56	11303
1	60	5998
2	63	4179
3	65	3226
4	68	2670
5	70	2293
6	73	2021
7	76	1827
8	79	1679
9	81	1547
10	83	1441
11	85	1341
12	87	1261
13	90	1196
14	92	1136
15	95	1093
16	97	1047
17	99	1005
18	101	968
19	104	939
20	107	912
21	109	885
22	111	861
23	113	832
24	116	814
25	118	794
26	121	775
27	123	759
28	125	741
29	128	726
30	130	710
31	132	694
32	135	686
33	137	671
34	140	661
35	142	650
36	145	640
37	147	629
38	150	620
39	152	611
40	155	603
41	157	594
42	160	586
43	163	579
44	166	573
45	168	564
46	170	556
47	173	548
48	176	542
49	178	535
50	180	526
51	182	519
52	184	512
53	187	506
54	189	500
55	192	494
56	194	488
57	196	482
58	199	477
59	201	471
60	204	465
61	205	458
62	208	452
63	210	447
64	212	442
65	215	437
66	218	432
67	220	428
68	222	422
69	225	418
70	227	413
71	229	407
72	231	403
73	234	398
74	236	393
75	238	388
76	241	385
77	243	380
78	245	376
79	248	372
80	251	368
81	253	364
82	255	360
83	258	356
84	260	352
85	263	349
86	266	345
87	268	341
88	270	337
89	273	334
90	276	330
91	279	327
92	281	323
93	283	319
94	285	315
95	287	311
96	289	307
97	291	303
98	294	300
99	296	296
100	298	292
101	301	289
102	303	285
103	305	281
104	307	278
105	309	274
106	311	271
107	314	267
108	316	264
109	318	260
110	321	257
111	323	254
112	326	251
113	328	248
114	331	244
115	333	241
116	336	238
117	338	235
118	341	232
119	344	229
120	346	225
121	348	222
122	351	219
123	354	216
124	356	213
125	359	210
126	361	207
127	363	204
128	366	201
129	369	198
130	372	196
131	375	193
132	377	190
133	380	187
134	382	184
135	385	181
136	387	178
137	390	175
138	393	172
139	396	169
140	398	166
141	400	163
142	402	160
143	405	157
144	407	154
145	410	151
146	413	149
147	415	146
148	418	143
149	420	140
150	423	137
151	426	134
152	428	131
153	432	129
154	434	126
155	437	123
156	439	120
157	441	117
158	444	114
159	446	111
160	448	108
161	451	105
162	454	103
163	456	100
164	459	97
165	461	94
166	465	91
167	467	89
168	469	86
169	472	83
170	474	80
171	477	77
172	479	74
173	482	72
174	484	69
175	487	66
176	489	63
177	491	60
178	494	57
179	496	55
180	498	52
181	502	49
182	504	46
183	507	44
184	510	41
185	512	38
186	514	35
187	518	33
188	521	30
189	523	27
190	526	24
191	528	22
192	531	19
193	534	16
194	536	13
195	539	11
196	541	8
197	543	5
198	546	2
199	548	0
