user_id,income_level,shopping_freq,age,activity_score,is_member,ltv
0,5.99,1,36,2.93,1,1349.54
1,4.72,1,31,2.6,0,1001.47
2,6.3,1,57,1.61,0,1140.03
3,8.05,4,39,3.93,1,1739.61
4,4.53,4,44,3.32,1,1386.24
5,4.53,4,46,3.93,0,1162.05
6,8.16,6,36,6.37,1,1830.93
7,6.53,3,33,4.78,1,1583.57
8,4.06,4,50,4.49,1,1356.94
9,6.09,4,42,5.95,1,1437.75
10,4.07,1,26,2.09,0,1001.69
11,4.07,2,27,1.83,1,1275.92
12,5.48,1,31,3.7,0,1057.41
13,1.17,2,46,2.12,1,964.76
14,1.55,1,49,1.21,1,1055.3
15,3.88,8,56,4.16,0,1311.66
16,2.97,2,27,1.58,0,885.65
17,5.63,2,36,3.37,0,1157.81
18,3.18,6,30,4.08,1,1324.95
19,2.18,2,33,1.02,0,738.68
20,7.93,2,44,3.76,1,1511.96
21,4.55,0,34,2.87,0,968.37
22,5.14,1,48,2.02,1,1261.07
23,2.15,1,29,1.53,0,798.2
24,3.91,4,42,3.25,1,1277.0
25,5.22,2,30,3.21,1,1326.31
26,2.7,5,18,2.21,1,1267.33
27,5.75,3,24,5.51,1,1311.34
28,3.8,3,36,3.2,1,1184.05
29,4.42,5,54,3.19,1,1365.49
30,3.8,3,30,3.13,1,1221.73
31,8.7,3,33,7.08,1,1649.59
32,4.97,5,39,4.08,1,1401.87
33,2.88,4,29,4.18,0,1023.42
34,6.65,1,30,2.47,0,1237.76
35,2.56,4,35,1.63,0,816.2
36,5.42,3,30,1.47,0,1180.51
37,1.08,1,18,2.82,0,650.95
38,2.34,3,28,0.37,1,1038.71
39,5.39,2,41,3.47,1,1332.27
40,6.48,3,41,5.88,1,1517.32
41,5.34,1,48,3.94,0,1120.03
42,4.77,1,47,3.06,0,1031.93
43,4.4,2,25,4.08,1,1272.12
44,2.04,4,27,1.55,0,904.84
45,3.56,2,27,2.9,0,841.79
46,4.08,2,33,2.53,0,1001.18
47,7.11,4,28,4.62,0,1349.98
48,5.69,2,33,3.63,1,1374.4
49,1.47,3,26,2.81,0,786.39
50,5.65,4,42,5.59,0,1253.35
51,4.23,5,25,3.35,1,1331.09
52,3.65,3,25,1.63,1,1194.67
53,6.22,2,40,2.89,1,1437.69
54,7.06,5,42,6.98,1,1610.53
55,6.86,4,32,6.11,1,1555.19
56,3.32,1,43,0.87,0,794.53
57,4.38,5,42,5.35,1,1402.11
58,5.66,2,53,2.72,0,1102.45
59,6.95,3,42,5.04,1,1546.5
60,4.04,2,52,1.91,0,1039.48
61,4.63,10,35,7.48,1,1726.43
62,2.79,4,48,2.02,1,1162.66
63,2.61,3,49,1.15,0,941.99
64,6.63,4,33,4.06,1,1562.14
65,7.71,5,28,7.98,1,1627.63
66,4.86,3,29,3.59,1,1261.28
67,7.01,1,39,2.78,1,1493.07
68,5.72,2,23,2.67,1,1430.2
69,3.71,3,30,1.01,1,1115.03
70,5.72,2,46,4.0,1,1388.97
71,8.08,4,41,3.99,1,1721.06
72,4.93,5,18,5.07,0,1202.71
73,8.13,0,21,4.85,0,1273.32
74,1.0,2,56,1.0,0,647.18
75,6.64,3,46,5.46,1,1418.32
76,5.17,4,29,4.71,1,1364.71
77,4.4,2,20,2.96,0,1075.02
78,5.18,0,22,1.82,1,1200.82
79,1.02,2,40,1.53,0,739.18
80,4.56,1,54,2.99,1,1106.0
81,5.71,4,54,4.55,1,1493.4
82,7.96,1,19,4.36,1,1584.46
83,3.96,2,32,2.91,0,865.68
84,3.38,1,26,2.29,0,861.96
85,4.0,4,36,4.56,0,1116.84
86,6.83,1,21,2.44,1,1498.23
87,5.66,2,29,2.43,1,1296.8
88,3.94,4,26,3.25,1,1363.41
89,6.03,3,40,3.15,0,1274.59
90,5.19,9,29,5.51,0,1419.28
91,6.94,1,31,2.66,0,1293.37
92,3.6,0,40,0.84,0,974.73
93,4.34,1,51,4.53,1,1167.69
94,4.22,2,56,2.48,1,1200.68
95,2.07,1,39,0.17,0,709.7
96,5.59,0,34,2.68,0,1151.14
